what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1274819071228
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1274819071228
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1274819071228
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1274819071228
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1274819071228
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1274819071228
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1274819071228
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1274819071228
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1274819071228
os,sysinfo,,,"win32",1274819071228
arch,sysinfo,,,"x86",1274819071228
ws,sysinfo,,,"win32",1274819071228
locale,sysinfo,,,"bg_BG",1274819071228
processors,sysinfo,,,"2",1274819071228
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1274819071228
java.runtime.version,sysinfo,,,"1.6.0_10-b33",1274819071228
java.specification.name,sysinfo,,,"Java Platform API Specification",1274819071228
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274819071228
java.specification.version,sysinfo,,,"1.6",1274819071228
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1274819071228
java.version,sysinfo,,,"1.6.0_10",1274819071228
java.vm.info,sysinfo,,,"mixed mode, sharing",1274819071228
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1274819071228
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1274819071228
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274819071228
